Kans,vroeger,nu
98.6300289,28.428,31.409
97.2601807,28.88,31.861
95.8901482,29.1775,32.1585
94.5206386,29.4074,32.3884
93.1506339,29.5985,32.5795
91.7810105,29.7642,32.7452
90.4110084,29.912,32.893
89.0408519,30.0464,33.0274
87.6716172,30.1704,33.1514
86.3013817,30.2861,33.2671
84.9314603,30.3951,33.3761
83.5617354,30.4984,33.4794
82.1915556,30.597,33.578
80.8217960,30.6916,33.6726
79.4520983,30.7827,33.7638
78.0822987,30.8709,33.8519
76.7124128,30.9565,33.9375
75.3426206,31.0398,34.0208
73.9727041,31.1211,34.1021
72.6026602,31.2006,34.1817
71.2326816,31.2787,34.2597
69.8631381,31.3554,34.3364
68.4931507,31.4309,34.4119
67.1231038,31.5055,34.4865
65.7535688,31.5791,34.5601
64.3836234,31.652,34.633
63.0135605,31.7242,34.7052
61.6439201,31.7959,34.7769
60.2740056,31.8671,34.8481
58.9042629,31.938,34.919
57.5340889,32.0087,34.9897
56.1643143,32.0791,35.0602
54.7945205,32.1495,35.1306
53.4247966,32.2199,35.201
52.0548658,32.2904,35.2714
50.6850079,32.3611,35.3421
49.3150144,32.4319,35.4129
47.9453040,32.5031,35.4841
46.5753169,32.5747,35.5558
45.2055042,32.6468,35.6278
43.8356164,32.7195,35.7005
42.4657302,32.7929,35.7739
41.0959467,32.867,35.848
39.7260492,32.9419,35.923
38.3562064,33.0179,35.9989
36.9863520,33.0949,36.0759
35.6164676,33.1732,36.1542
34.2465753,33.2528,36.2338
32.8766763,33.3339,36.3149
31.5068795,33.4166,36.3976
30.1370028,33.5012,36.4822
28.7671272,33.5879,36.5689
27.3972603,33.6767,36.6578
26.0274329,33.7682,36.7492
24.6575072,33.8624,36.8434
23.2876585,33.9597,36.9407
21.9178082,34.0606,37.0416
20.5479311,34.1655,37.1465
19.1780664,34.2749,37.2559
17.8082021,34.3895,37.3705
16.4383652,34.5101,37.4911
15.0685014,34.6376,37.6186
13.6986301,34.7734,37.7544
12.3287688,34.9189,37.8999
10.9589041,35.0764,38.0574
9.5890148,35.2488,38.2298
8.2191556,35.4402,38.4212
6.8493151,35.6568,38.6379
5.4794521,35.9089,38.8899
4.1095947,36.2145,39.1955
2.7397260,36.612,39.593
1.3698630,37.2138,40.1949
1.2328738,37.2977,40.2787
1.1095885,37.3796,40.3606
0.9986319,37.4597,40.4408
0.8987633,37.5381,40.5191
0.8088913,37.6147,40.5957
0.7279981,37.6897,40.6707
0.6551964,37.763,40.744
0.5896817,37.8347,40.8157
0.5307151,37.9048,40.8858
0.4776416,37.9734,40.9544
0.4298746,38.0405,41.0215
0.3868876,38.1061,41.0871
0.3481979,38.1703,41.1513
0.3133833,38.2331,41.2141
0.2820429,38.2946,41.2756
0.2538380,38.3547,41.3357
0.2284529,38.4135,41.3945
0.2056061,38.471,41.452
0.1850485,38.5273,41.5083
0.1665412,38.5824,41.5634
0.1498877,38.6363,41.6173
0.1348972,38.689,41.67
0.1214087,38.7406,41.7216
0.1092673,38.7911,41.7721
0.0983420,38.8404,41.8214
0.0885073,38.8888,41.8698
0.0796559,38.936,41.917
0.0716923,38.9823,41.9633
0.0645220,39.0275,42.0086
0.0580727,39.0718,42.0528
0.0522613,39.1152,42.0962
0.0470340,39.1576,42.1386
0.0423313,39.1991,42.1801
0.0380993,39.2396,42.2206
0.0342905,39.2793,42.2603
0.0308632,39.3182,42.2992
0.0277758,39.3562,42.3372
0.0249982,39.3934,42.3744
0.0224948,39.4299,42.4109
0.0202477,39.4655,42.4465
0.0182211,39.5003,42.4814
0.0164032,39.5344,42.5154
0.0147581,39.5678,42.5489
0.0132859,39.6004,42.5814
0.0119567,39.6324,42.6134
0.0107586,39.6637,42.6447
0.0096858,39.6942,42.6752
