"leadtime","year","number","longitude","latitude","mx2t24","anomalies","scaled","celcius"
2,1981,0,5,51,298.7525,0.773190783261182,308.972720750557,35.822720750557
2,1981,1,5,51,297.89618,0.484342660713186,307.765830345346,34.6158303453462
2,1981,2,5,51,296.80606,0.116630689309934,306.229424132098,33.0794241320982
2,1981,3,5,51,294.5762,-0.635530739297244,303.086677683383,29.9366776833832
2,1981,4,5,51,294.54214,-0.647019630195473,303.038673797918,29.8886737979182
2,1981,5,5,51,297.56558,0.372826884701448,307.299885408917,34.1498854089173
2,1981,6,5,51,296.07205,-0.130960643873296,305.194916440664,32.0449164406641
2,1981,7,5,51,295.0911,-0.461848122635284,303.812373532649,30.6623735326488
2,1981,8,5,51,295.9985,-0.155770036872886,305.091255672139,31.9412556721391
2,1981,9,5,51,293.55887,-0.978689675806665,301.652861100875,28.5028611008754
2,1981,10,5,51,294.79068,-0.563183783341402,303.388964041415,30.2389640414149
2,1981,11,5,51,294.7125,-0.589554936906439,303.278777788753,30.128777788753
2,1981,12,5,51,298.62708,0.730884949542507,308.795954828213,35.6459548282131
2,1981,13,5,51,297.74832,0.434467516608227,307.557437670511,34.4074376705114
2,1981,14,5,51,295.65088,-0.273026885200776,304.601322886896,31.451322886896
2,1981,15,5,51,295.1925,-0.427644554312261,303.955285863423,30.8052858634228
2,1981,16,5,51,296.21762,-0.0818579472186354,305.400081608226,32.2500816082259
2,1981,17,5,51,296.1487,-0.105105579652779,305.302946323838,32.1529463238379
2,1981,18,5,51,294.618,-0.62143104347966,303.145590261552,29.9955902615524
2,1981,19,5,51,295.04233,-0.478298892133442,303.743637493479,30.5936374934787
2,1981,20,5,51,295.08722,-0.463156898227913,303.806905092379,30.6569050923786
2,1981,21,5,51,294.34937,-0.712043514471886,302.766985336347,29.6169853363471
2,1981,22,5,51,295.77087,-0.232552662685193,304.770435811645,31.6204358116452
2,1981,23,5,51,298.2926,0.61806039793814,308.324541451514,35.174541451514
2,1981,24,5,51,298.22833,0.596381272335386,308.233959839099,35.0839598390995
2,1981,25,5,51,NA,NA,NA,NA
2,1981,26,5,51,NA,NA,NA,NA
2,1981,27,5,51,NA,NA,NA,NA
2,1981,28,5,51,NA,NA,NA,NA
2,1981,29,5,51,NA,NA,NA,NA
2,1981,30,5,51,NA,NA,NA,NA
2,1981,31,5,51,NA,NA,NA,NA
2,1981,32,5,51,NA,NA,NA,NA
2,1981,33,5,51,NA,NA,NA,NA
2,1981,34,5,51,NA,NA,NA,NA
2,1981,35,5,51,NA,NA,NA,NA
2,1981,36,5,51,NA,NA,NA,NA
2,1981,37,5,51,NA,NA,NA,NA
2,1981,38,5,51,NA,NA,NA,NA
2,1981,39,5,51,NA,NA,NA,NA
2,1981,40,5,51,NA,NA,NA,NA
2,1981,41,5,51,NA,NA,NA,NA
2,1981,42,5,51,NA,NA,NA,NA
2,1981,43,5,51,NA,NA,NA,NA
2,1981,44,5,51,NA,NA,NA,NA
2,1981,45,5,51,NA,NA,NA,NA
2,1981,46,5,51,NA,NA,NA,NA
2,1981,47,5,51,NA,NA,NA,NA
2,1981,48,5,51,NA,NA,NA,NA
2,1981,49,5,51,NA,NA,NA,NA
2,1981,50,5,51,NA,NA,NA,NA
2,1982,0,5,51,297.1954,0.247960248391633,306.778156744165,33.6281567441647
2,1982,1,5,51,296.09976,-0.121613692411449,305.233970688058,32.0839706880581
2,1982,2,5,51,296.61536,0.0523050435584599,305.960653111599,32.8106531115992
2,1982,3,5,51,296.23566,-0.0757728153394762,305.425507036699,32.2755070366989
2,1982,4,5,51,297.34372,0.297990556613236,306.987197739238,33.8371977392377
2,1982,5,5,51,298.51547,0.693237412456396,308.638652606934,35.4886526069342
2,1982,6,5,51,297.15814,0.235391954942759,306.725642804868,33.5756428048685
2,1982,7,5,51,296.79163,0.111763258433195,306.209086608103,33.0590866081034
2,1982,8,5,51,296.54547,0.0287302172261588,305.862150717144,32.7121507171436
2,1982,9,5,51,294.4854,-0.66615878667129,302.958704905925,29.8087049059249
2,1982,10,5,51,293.35327,-1.0480412896845,301.363090142225,28.2130901422251
2,1982,11,5,51,298.76007,0.775744244920007,308.983389846651,35.8333898466513
2,1982,12,5,51,296.00348,-0.154090216653456,305.098274443414,31.9482744434139
2,1982,13,5,51,294.7673,-0.571070168226937,303.356012460611,30.2060124606111
2,1982,14,5,51,292.7981,-1.23530751281953,300.580638084278,27.4306380842783
2,1982,15,5,51,294.27344,-0.737655713118511,302.659970215285,29.5099702152853
2,1982,16,5,51,298.37103,0.644515879827442,308.435080052131,35.2850800521315
2,1982,17,5,51,291.975,-1.51295008763881,299.420567675402,26.2705676754019
2,1982,18,5,51,296.49036,0.010140881424561,305.784479133821,32.6344791338206
2,1982,19,5,51,297.78323,0.44624312380899,307.606639539025,34.4566395390254
2,1982,20,5,51,298.6925,0.75295198543691,308.888157241223,35.7381572412233
2,1982,21,5,51,295.2759,-0.399512625336529,304.072829141397,30.9228291413967
2,1982,22,5,51,294.08707,-0.800520792293672,302.397301861376,29.2473018613765
2,1982,23,5,51,295.5081,-0.321188477756587,304.400089922518,31.2500899225182
2,1982,24,5,51,296.90887,0.151309869381815,306.374323705341,33.2243237053415
2,1982,25,5,51,NA,NA,NA,NA
2,1982,26,5,51,NA,NA,NA,NA
2,1982,27,5,51,NA,NA,NA,NA
2,1982,28,5,51,NA,NA,NA,NA
2,1982,29,5,51,NA,NA,NA,NA
2,1982,30,5,51,NA,NA,NA,NA
2,1982,31,5,51,NA,NA,NA,NA
2,1982,32,5,51,NA,NA,NA,NA
2,1982,33,5,51,NA,NA,NA,NA
2,1982,34,5,51,NA,NA,NA,NA
2,1982,35,5,51,NA,NA,NA,NA
2,1982,36,5,51,NA,NA,NA,NA
2,1982,37,5,51,NA,NA,NA,NA
2,1982,38,5,51,NA,NA,NA,NA
2,1982,39,5,51,NA,NA,NA,NA
2,1982,40,5,51,NA,NA,NA,NA
2,1982,41,5,51,NA,NA,NA,NA
2,1982,42,5,51,NA,NA,NA,NA
2,1982,43,5,51,NA,NA,NA,NA
2,1982,44,5,51,NA,NA,NA,NA
2,1982,45,5,51,NA,NA,NA,NA
2,1982,46,5,51,NA,NA,NA,NA
2,1982,47,5,51,NA,NA,NA,NA
2,1982,48,5,51,NA,NA,NA,NA
2,1982,49,5,51,NA,NA,NA,NA
2,1982,50,5,51,NA,NA,NA,NA
2,1983,0,5,51,295.72183,-0.249094506773561,304.701319236683,31.5513192366831
2,1983,1,5,51,296.18173,-0.0939641214505188,305.349498535726,32.1994985357261
2,1983,2,5,51,293.67767,-0.93861685611462,301.820296849356,28.6702968493561
2,1983,3,5,51,295.14014,-0.445306278546915,303.881490107611,30.7314901076109
2,1983,4,5,51,294.0962,-0.797441121891403,302.410169608713,29.2601696087135
2,1983,5,5,51,294.15552,-0.777431697109135,302.493774731608,29.3437747316081
2,1983,6,5,51,296.3371,-0.0415557544845661,305.568475743146,32.4184757431458
2,1983,7,5,51,293.43173,-1.0215756883963,301.473671024597,28.3236710245972
2,1983,8,5,51,297.85968,0.472030725370091,307.714387543835,34.5643875438348
2,1983,9,5,51,294.82156,-0.552767548727855,303.432486060885,30.2824860608853
2,1983,10,5,51,294.25235,-0.744769650553747,302.630246141754,29.4802461417544
2,1983,11,5,51,295.01987,-0.48587494878565,303.711982553151,30.5619825531515
2,1983,12,5,51,295.7031,-0.255412384827707,304.674921327853,31.5249213278528
2,1983,13,5,51,295.12216,-0.451371171628244,303.856149242647,30.7061492426473
2,1983,14,5,51,294.5639,-0.639679692851214,303.06934216397,29.9193421639698
2,1983,15,5,51,295.17682,-0.432933626810328,303.93318659965,30.7831865996503
2,1983,16,5,51,296.19186,-0.0905471377511863,305.363775674885,32.2137756748853
2,1983,17,5,51,295.94122,-0.175091342529121,305.010525708562,31.8605257085619
2,1983,18,5,51,294.29138,-0.73160431256905,302.685254704576,29.5352547045761
2,1983,19,5,51,296.8485,0.130946265637635,306.289238721034,33.1392387210336
2,1983,20,5,51,295.25803,-0.405540413955177,304.047643309533,30.8976433095335
2,1983,21,5,51,293.44266,-1.01788885405932,301.489075677214,28.3390756772141
2,1983,22,5,51,295.6047,-0.288604013259521,304.536237172545,31.3862371725455
2,1983,23,5,51,295.3322,-0.380521886711414,304.152177900988,31.0021779009882
2,1983,24,5,51,297.0726,0.206538175511296,306.605083428395,33.455083428395
2,1983,25,5,51,NA,NA,NA,NA
2,1983,26,5,51,NA,NA,NA,NA
2,1983,27,5,51,NA,NA,NA,NA
2,1983,28,5,51,NA,NA,NA,NA
2,1983,29,5,51,NA,NA,NA,NA
2,1983,30,5,51,NA,NA,NA,NA
2,1983,31,5,51,NA,NA,NA,NA
2,1983,32,5,51,NA,NA,NA,NA
2,1983,33,5,51,NA,NA,NA,NA
2,1983,34,5,51,NA,NA,NA,NA
2,1983,35,5,51,NA,NA,NA,NA
2,1983,36,5,51,NA,NA,NA,NA
2,1983,37,5,51,NA,NA,NA,NA
2,1983,38,5,51,NA,NA,NA,NA
2,1983,39,5,51,NA,NA,NA,NA
2,1983,40,5,51,NA,NA,NA,NA
2,1983,41,5,51,NA,NA,NA,NA
2,1983,42,5,51,NA,NA,NA,NA
2,1983,43,5,51,NA,NA,NA,NA
2,1983,44,5,51,NA,NA,NA,NA
2,1983,45,5,51,NA,NA,NA,NA
2,1983,46,5,51,NA,NA,NA,NA
2,1983,47,5,51,NA,NA,NA,NA
2,1983,48,5,51,NA,NA,NA,NA
2,1983,49,5,51,NA,NA,NA,NA
2,1983,50,5,51,NA,NA,NA,NA
2,1984,0,5,51,296.9757,0.173852517025096,306.468513360821,33.3185133608211
2,1984,1,5,51,297.21414,0.25428149957874,306.804568746913,33.6545687469132
2,1984,2,5,51,294.2824,-0.734633385976752,302.672598366012,29.5225983660125
2,1984,3,5,51,297.16504,0.237719416692541,306.735367608442,33.5853676084418
2,1984,4,5,51,294.90582,-0.524345530316626,303.551241415826,30.4012414158263
2,1984,5,5,51,295.32407,-0.3832642438166,304.140719545473,30.9907195454734
2,1984,6,5,51,296.77054,0.104649320997958,306.179362534573,33.0293625345726
2,1984,7,5,51,295.31378,-0.386735197643462,304.126216903623,30.9762169036227
2,1984,8,5,51,295.72015,-0.249661193112648,304.698951458422,31.5489514584218
