description,beschrijving,descripcion,id,likelyness,parent,sector,severity,type,workshop
It is getting warmer,,,1,,,,,Theme,0
Increase of average temperatures,,,2,,1,,,Hazard,0
"Increased evaporation, soil water depletion and irrigation challenges",,,3,,2,economic,,Impact,0
"Not able to plant at all, less food security",,,4,,2,economic,,Impact,1
Wetlands and riverine systems converted to other ecosystems,,,5,,2,environmental,,Impact,0
"More cooling, more electricity, more fossil fuels, more power outages",,,6,,2,economic,,Impact,1
Change in growing seasons,,,7,,2,economic,,Impact,0
"More favorable conditions for  pests and diseases, higher insecticide use",,,8,,2,economic,,Impact,0
Change in crop suitability,,,9,,2,economic,,Impact,0
More extreme temperatures,,,10,,1,,,Hazard,0
Migration,,,11,,10,socio,,Impact,1
More crimes because people sleep outside room,,,12,,10,socio,,Impact,1
"Threat for the health of community, including farmers",,,13,,10,socio,,Impact,0
Heat-related mortality (especially those with reduced immune system),,,14,,10,socio,,Impact,0
Less working hours,,,15,,10,economic,,Impact,0
"Human stress, less social, psychological and less conjugal activities",,,16,,10,socio,,,1
Heat stress for livestock,,,17,,10,economic,,Impact,0
Unpredictable weather patterns make it difficult to plan,,,18,,10,economic,,Impact,0
Crop stress and reduced yields,,,19,,10,economic,,Impact,0
Reduced income,,,20,,18,economic,,,1
Higher surface water temperature,,,21,,1,,,Hazard,0
Less aquatic life,,,22,,21,environmental,,Impact,1
Reduced water quality,,,23,,21,environmental,,Impact,0
Less effective chemicals,,,24,,21,economic,,,1
