description,beschrijving,descripcion,id,likelyness,parent,sector,severity,type,workshop
It is getting drier,,,1,,,,,Theme,
Changing rainfall patterns,,,2,,1,,,Hazard,
Shift in planting/harvesting seasons,,,3,,2,socio,,Impact,0
Loss of indigenous species,,,4,,2,environmental,,Impact,0
Reduction of (agro-) ecological productivity,,,5,,2,economic,,Impact,0
New pests and diseases,,,6,,2,economic,,Impact,1
Increase of periods with lower river discharge,,,7,,1,,,Hazard,1
Affected hydropower generation,,,8,,7,economic,,Impact,0
Less water for irrigation,,,9,,7,economic,,Impact,1
Low ground water levels and dry soils,,,10,,1,socio,,Hazard,0
Lower crop yields,,,11,,10,economic,,Impact,0
More drilling of boreholes,,,12,,10,economic,,Impact,1
"Increase in food prices, more import",,,13,,10,economic,,Impact,1
Hunger and poverty,,,14,,13,socio,,Impact,1
"Environmental degradation, loss of biodiversity",,,15,,10,environmental,,Impact,0
Conflicts,,,16,,10,socio,,Impact,1
More extreme drought,,,17,,1,,,Hazard,
Less people venturing into crop and livestock production ,,,18,,17,economic,,Impact,1
Wildfires,,,19,,17,economic,,Impact,0
"Reduced  recharge into groundwater reservoirs, dried wells",,,20,,17,socio,,Impact,0
Increased vulnerbility and economic hardship smallholder  farmers,,,21,,17,economic,,Impact,0
"More crime, drugtrafficking, disease, school drop-out",,,22,,21,socio,,Impact,1
Drink water shortage for live stock,,,23,,17,economic,,Impact,0
"Yield increase of less sensitive  crops such as cassava, peas and groundnuts (CO2 fertilisation)",,,24,,17,economic,,Impact,0
Yield decline of drought-sensitive crops such as maize and millet,,,25,,17,economic,,Impact,0
Rural migration,,,26,,17,socio,,Impact,0
"More pollution in urban areas, pressure on resources",,,27,,26,socio,,Impact,1
Impact on agro-processing industries,,,28,,17,economic,,Impact,0
