year,T
1951,31.2
1952,32.7
1953,32.6
1954,30.9
1955,31.3
1956,29.6
1957,36.4
1958,30.5
1959,36.1
1960,29.9
1961,32.9
1962,28.7
1963,31
1964,35.4
1965,28.9
1966,31.7
1967,33.3
1968,33.3
1969,31.8
1970,29.7
1971,30.3
1972,32.2
1973,32.1
1974,29.3
1975,32.6
1976,35.8
1977,31
1978,32.2
1979,28.8
1980,30.4
1981,30.5
1982,31.7
1983,32.7
1984,32
1985,29.8
1986,34.5
1987,30.4
1988,29
1989,32.5
1990,35.8
1991,33.9
1992,31.6
1993,30.8
1994,35.2
1995,33.8
1996,34
1997,33
1998,33.3
1999,31.5
2000,34.3
2001,33.6
2002,33.9
2003,35.8
2004,32.2
2005,34.4
2006,36.4
2007,31.6
2008,30
2009,36.6
2010,35.9
2011,34.5
2012,35
2013,36.1
2014,33.9
2015,36.2
2016,35.2
2017,35
2018,36.7
2019,40.4
2020,35.9
2021,32.2
2022,38.3
